phrase,lang,category,severity
take a loan if you do not have the funds,en,payment_demand,high
pay the fine online through this link,en,payment_demand,high
the amount must reach us before the court hearing,en,payment_demand,high
share the otp for verification,en,verification_ruse,high
tell me the otp you just received,en,verification_ruse,high
video kyc verification is required urgently,en,verification_ruse,medium
confirm your aadhaar number for verification,en,verification_ruse,medium
read out your debit card number for confirmation,en,verification_ruse,medium
we need your cvv to verify the account,en,verification_ruse,high
install this app so that we can verify your device,en,verification_ruse,medium
share your screen for the verification process,en,verification_ruse,medium
click the link and fill the verification form,en,verification_ruse,medium
we are sending a test transaction please verify it,en,verification_ruse,medium
your account needs re kyc immediately,en,verification_ruse,medium
verify your identity to avoid account closure,en,verification_ruse,medium
tell me your current account balance for verification,en,verification_ruse,medium
we will refund the money after verification,en,verification_ruse,medium
this is only a verification transfer nothing will be deducted,en,verification_ruse,medium
approve the request on your upi app,en,verification_ruse,medium
enter your upi pin to receive the refund,en,verification_ruse,high
download anydesk so the officer can verify,en,verification_ruse,medium
confirm your net banking user id,en,verification_ruse,medium
we need to verify the source of your funds,en,verification_ruse,medium
share your bank statement on whatsapp,en,verification_ruse,low
verify your address on this government portal,en,verification_ruse,medium
the money will bounce back automatically after checking,en,verification_ruse,medium
this is an rbi mandated verification procedure,en,verification_ruse,medium
give me the last six digits of your card,en,verification_ruse,medium
confirm the code we have sent to your email,en,verification_ruse,medium
you will lose your job over this,en,intimidation,medium
your family will also be named in the case,en,intimidation,medium
your children will be questioned by the police,en,intimidation,high
your name will appear in the newspapers,en,intimidation,medium
your reputation will be destroyed,en,intimidation,medium
your property will be seized,en,intimidation,high
your passport will be cancelled,en,intimidation,medium
you will be blacklisted permanently,en,intimidation,medium
do not argue with me,en,intimidation,low
do not question a government officer,en,intimidation,medium
you are wasting the officers time,en,intimidation,medium
your behaviour is being noted in the case file,en,intimidation,medium
non cooperation is itself a crime,en,intimidation,medium
if you disconnect the arrest will be immediate,en,intimidation,high
we can trace your location right now,en,intimidation,medium
we know your address and your workplace,en,intimidation,medium
your neighbours will find out about the case,en,intimidation,medium
you will be summoned to delhi for questioning,en,intimidation,medium
things will get very bad for you,en,intimidation,medium
you have no choice in this matter,en,intimidation,medium
i am warning you for the last time,en,intimidation,medium
do not test my patience,en,intimidation,low
your visa application will be rejected forever,en,intimidation,medium
the consequences will be severe,en,intimidation,medium
you will regret not cooperating,en,intimidation,medium
we will freeze everything you own,en,intimidation,high
मैं सीबीआई अधिकारी बोल रहा हूँ,hi,authority_impersonation,high
main cbi adhikari bol raha hoon,hi,authority_impersonation,high
सीबीआई मुख्यालय दिल्ली से बात कर रहे हैं,hi,authority_impersonation,high
cbi mukhyalay delhi se baat kar rahe hain,hi,authority_impersonation,high
यह प्रवर्तन निदेशालय का फोन है,hi,authority_impersonation,high
yeh pravartan nideshalay ka phone hai,hi,authority_impersonation,high
मुंबई साइबर क्राइम पुलिस से बोल रहा हूँ,hi,authority_impersonation,high
mumbai cyber crime police se bol raha hoon,hi,authority_impersonation,high
ट्राई की तरफ से सूचना दी जा रही है,hi,authority_impersonation,high
trai ki taraf se soochna di ja rahi hai,hi,authority_impersonation,high
कस्टम विभाग से बोल रहे हैं आपका पार्सल पकड़ा गया है,hi,authority_impersonation,high
custom vibhag se bol rahe hain aapka parcel pakda gaya hai,hi,authority_impersonation,high
आरबीआई का अधिकारी बोल रहा हूँ,hi,authority_impersonation,high
rbi ka adhikari bol raha hoon,hi,authority_impersonation,high
नारकोटिक्स कंट्रोल ब्यूरो का जांच अधिकारी हूँ,hi,authority_impersonation,high
narcotics control bureau ka jaanch adhikari hoon,hi,authority_impersonation,high
यह सुप्रीम कोर्ट का आदेश है,hi,authority_impersonation,high
yeh supreme court ka aadesh hai,hi,authority_impersonation,high
आपके खिलाफ गिरफ्तारी वारंट जारी हुआ है,hi,arrest_threat,high
aapke khilaf giraftari warrant jari hua hai,hi,arrest_threat,high
आप डिजिटल अरेस्ट में हैं,hi,arrest_threat,high
aap digital arrest mein hain,hi,arrest_threat,high
पुलिस आपके घर आ रही है,hi,arrest_threat,high
police aapke ghar aa rahi hai,hi,arrest_threat,high
दो घंटे में आपको गिरफ्तार कर लिया जाएगा,hi,arrest_threat,high
do ghante mein aapko giraftar kar liya jayega,hi,arrest_threat,high
आपके नाम पर एफआईआर दर्ज हो चुकी है,hi,arrest_threat,high
aapke naam par fir darj ho chuki hai,hi,arrest_threat,high
मनी लॉन्ड्रिंग के केस में आपका नाम आया है,hi,arrest_threat,high
money laundering ke case mein aapka naam aaya hai,hi,arrest_threat,high
जेल जाने से बचना है तो सहयोग कीजिए,hi,arrest_threat,high
jail jaane se bachna hai to sahyog kijiye,hi,arrest_threat,high
गैर जमानती वारंट निकला है,hi,arrest_threat,high
gair jamanti warrant nikla hai,hi,arrest_threat,high
आपका खाता बंद हो जाएगा,hi,account_freeze,high
aapka khata band ho jayega,hi,account_freeze,high
आपका बैंक अकाउंट सील किया जा रहा है,hi,account_freeze,high
aapka bank account seal kiya ja raha hai,hi,account_freeze,high
आपका आधार अवैध गतिविधि से जुड़ा है,hi,account_freeze,high
aapka aadhaar avaidh gatividhi se juda hai,hi,account_freeze,high
आपका पैन कार्ड ब्लॉक कर दिया गया है,hi,account_freeze,high
aapka pan card block kar diya gaya hai,hi,account_freeze,high
आपका सिम कार्ड दो घंटे में बंद हो जाएगा,hi,account_freeze,high
aapka sim card do ghante mein band ho jayega,hi,account_freeze,high
आपके सभी लेनदेन फ्रीज कर दिए जाएंगे,hi,account_freeze,high
aapke sabhi lenden freeze kar diye jayenge,hi,account_freeze,high
आपकी यूपीआई आईडी निलंबित की जा रही है,hi,account_freeze,high
aapki upi id nilambit ki ja rahi hai,hi,account_freeze,high
आयकर विभाग ने आपके सभी खाते रोक दिए हैं,hi,account_freeze,high
aaykar vibhag ne aapke sabhi khate rok diye hain,hi,account_freeze,high
तुरंत पैसे भेजिए,hi,urgency,medium
turant paise bhejiye,hi,urgency,medium
समय बहुत कम है जल्दी कीजिए,hi,urgency,low
samay bahut kam hai jaldi kijiye,hi,urgency,low
तीस मिनट के अंदर भुगतान करना होगा,hi,urgency,medium
tees minute ke andar bhugtan karna hoga,hi,urgency,medium
यह आपका आखिरी मौका है,hi,urgency,medium
yeh aapka aakhri mauka hai,hi,urgency,medium
आज रात बारह बजे से पहले करना होगा,hi,urgency,medium
aaj raat baarah baje se pehle karna hoga,hi,urgency,medium
देरी हुई तो कुछ नहीं हो पाएगा,hi,urgency,medium
deri hui to kuch nahin ho payega,hi,urgency,medium
अभी के अभी करना होगा,hi,urgency,low
abhi ke abhi karna hoga,hi,urgency,low
पंद्रह मिनट में जवाब दीजिए,hi,urgency,medium
pandrah minute mein jawab dijiye,hi,urgency,medium
किसी को मत बताइए,hi,secrecy,medium
kisi ko mat bataiye,hi,secrecy,medium
घर वालों को कुछ मत कहिए,hi,secrecy,medium
ghar walon ko kuch mat kahiye,hi,secrecy,medium
फोन मत काटिए लाइन पर बने रहिए,hi,secrecy,medium
phone mat katiye line par bane rahiye,hi,secrecy,medium
यह जांच गोपनीय है,hi,secrecy,medium
yeh jaanch gopniya hai,hi,secrecy,medium
बैंक में जाकर किसी से बात मत कीजिए,hi,secrecy,medium
bank mein jaakar kisi se baat mat kijiye,hi,secrecy,medium
वीडियो कॉल चालू रखिए कहीं मत जाइए,hi,secrecy,medium
video call chalu rakhiye kahin mat jaiye,hi,secrecy,medium
किसी वकील से संपर्क मत कीजिए,hi,secrecy,medium
kisi vakil se sampark mat kijiye,hi,secrecy,medium
अभी पैसा ट्रांसफर करो,hi,payment_demand,high
abhi paisa transfer karo,hi,payment_demand,high
सुरक्षित खाते में पैसे जमा कीजिए,hi,payment_demand,high
surakshit khate mein paise jama kijiye,hi,payment_demand,high
सत्यापन के लिए पूरी रकम भेजनी होगी,hi,payment_demand,high
satyapan ke liye poori rakam bhejni hogi,hi,payment_demand,high
यह क्यूआर कोड स्कैन कीजिए,hi,payment_demand,high
yeh qr code scan kijiye,hi,payment_demand,high
जुर्माना भरने पर केस बंद हो जाएगा,hi,payment_demand,high
jurmana bharne par case band ho jayega,hi,payment_demand,high
सरकारी एस्क्रो खाते में पैसे डालिए,hi,payment_demand,high
sarkari escrow khate mein paise daliye,hi,payment_demand,high
यूपीआई से पचास हजार तुरंत भेजिए,hi,payment_demand,high
upi se pachas hazar turant bhejiye,hi,payment_demand,high
सत्यापन के लिए ओटीपी बताइए,hi,verification_ruse,high
satyapan ke liye otp bataiye,hi,verification_ruse,high
वीडियो केवाईसी अभी पूरी करनी होगी,hi,verification_ruse,medium
video kyc abhi poori karni hogi,hi,verification_ruse,medium
अपना आधार नंबर कन्फर्म कीजिए,hi,verification_ruse,medium
apna aadhaar number confirm kijiye,hi,verification_ruse,medium
यह ऐप डाउनलोड करके स्क्रीन शेयर कीजिए,hi,verification_ruse,medium
yeh app download karke screen share kijiye,hi,verification_ruse,medium
खाते की जांच के लिए बैलेंस बताइए,hi,verification_ruse,medium
khate ki jaanch ke liye balance bataiye,hi,verification_ruse,medium
लिंक पर क्लिक करके फॉर्म भरिए,hi,verification_ruse,medium
link par click karke form bhariye,hi,verification_ruse,medium
पैसा वापस आ जाएगा सिर्फ जांच के लिए भेजिए,hi,verification_ruse,medium
paisa wapas aa jayega sirf jaanch ke liye bhejiye,hi,verification_ruse,medium
आपकी नौकरी चली जाएगी,hi,intimidation,medium
aapki naukri chali jayegi,hi,intimidation,medium
परिवार को भी केस में घसीटा जाएगा,hi,intimidation,medium
parivar ko bhi case mein ghaseeta jayega,hi,intimidation,medium
मीडिया में आपका नाम आ जाएगा,hi,intimidation,medium
media mein aapka naam aa jayega,hi,intimidation,medium
सहयोग नहीं किया तो अंजाम बुरा होगा,hi,intimidation,medium
sahyog nahin kiya to anjam bura hoga,hi,intimidation,medium
आपकी संपत्ति जब्त कर ली जाएगी,hi,intimidation,high
aapki sampatti jabt kar li jayegi,hi,intimidation,medium
आपका पासपोर्ट रद्द कर दिया जाएगा,hi,intimidation,medium
aapka passport radd kar diya jayega,hi,intimidation,medium
अब बहस मत कीजिए वरना सख्त कार्रवाई होगी,hi,intimidation,medium
ab bahas mat kijiye varna sakht karrwai hogi,hi,intimidation,medium
मी सीबीआय अधिकारी बोलतोय,mr,authority_impersonation,high
mi cbi adhikari boltoy,mr,authority_impersonation,high
सायबर क्राईम पोलीस स्टेशनमधून बोलतोय,mr,authority_impersonation,high
cyber crime police station madhun boltoy,mr,authority_impersonation,high
हा ईडीचा फोन आहे,mr,authority_impersonation,high
ha ed cha phone aahe,mr,authority_impersonation,high
ट्रायकडून सूचना देत आहोत,mr,authority_impersonation,high
trai kadun soochana det aahot,mr,authority_impersonation,high
कस्टम विभागातून बोलतोय तुमचं पार्सल पकडलं आहे,mr,authority_impersonation,high
custom vibhagatun boltoy tumcha parcel pakadla aahe,mr,authority_impersonation,high
आरबीआयचा अधिकारी बोलतोय,mr,authority_impersonation,high
rbi cha adhikari boltoy,mr,authority_impersonation,high
हा न्यायालयाचा आदेश आहे,mr,authority_impersonation,high
ha nyayalayacha aadesh aahe,mr,authority_impersonation,high
तुमच्यावर अटक वॉरंट आहे,mr,arrest_threat,high
tumchyavar atak warrant aahe,mr,arrest_threat,high
तुम्ही डिजिटल अटकेत आहात,mr,arrest_threat,high
tumhi digital atket aahat,mr,arrest_threat,high
पोलीस तुमच्या घरी येत आहेत,mr,arrest_threat,high
police tumchya ghari yet aahet,mr,arrest_threat,high
तुमच्या नावावर एफआयआर दाखल झाली आहे,mr,arrest_threat,high
tumchya navavar fir dakhal zali aahe,mr,arrest_threat,high
मनी लॉन्ड्रिंग प्रकरणात तुमचं नाव आहे,mr,arrest_threat,high
money laundering prakaranat tumcha naav aahe,mr,arrest_threat,high
एका तासात अटक होईल,mr,arrest_threat,high
eka tasat atak hoil,mr,arrest_threat,high
तुरुंगात जायचं नसेल तर सहकार्य करा,mr,arrest_threat,high
turungat jaycha nasel tar sahakarya kara,mr,arrest_threat,high
तुमचं खातं बंद होईल,mr,account_freeze,high
tumcha khata band hoil,mr,account_freeze,high
तुमचं बँक खातं गोठवलं जाईल,mr,account_freeze,high
tumcha bank khata gothavla jail,mr,account_freeze,high
तुमचं आधार बेकायदेशीर व्यवहारात वापरलं गेलं आहे,mr,account_freeze,high
tumcha aadhaar bekaydeshir vyavaharat vaparla gela aahe,mr,account_freeze,high
तुमचं सिम कार्ड ब्लॉक होईल,mr,account_freeze,high
tumcha sim card block hoil,mr,account_freeze,high
तुमचं पॅन कार्ड रद्द केलं जाईल,mr,account_freeze,high
tumcha pan card radd kela jail,mr,account_freeze,high
तुमचे सर्व व्यवहार थांबवले जातील,mr,account_freeze,high
tumche sarva vyavahar thambavle jatil,mr,account_freeze,high
आत्ताच पैसे पाठवा,mr,urgency,medium
aattach paise pathava,mr,urgency,medium
वेळ संपत आली आहे,mr,urgency,low
vel sampat aali aahe,mr,urgency,low
अर्ध्या तासात पैसे भरा,mr,urgency,medium
ardhya tasat paise bhara,mr,urgency,medium
ही तुमची शेवटची संधी आहे,mr,urgency,medium
hi tumchi shevatchi sandhi aahe,mr,urgency,medium
उशीर केला तर काहीच होणार नाही,mr,urgency,medium
ushir kela tar kahich honar nahi,mr,urgency,medium
हे आजच करावं लागेल,mr,urgency,low
he aajach karav lagel,mr,urgency,low
कुणालाही सांगू नका,mr,secrecy,medium
kunalahi sangu naka,mr,secrecy,medium
घरच्यांना काही सांगू नका,mr,secrecy,medium
gharchyanna kahi sangu naka,mr,secrecy,medium
फोन कट करू नका लाईनवर रहा,mr,secrecy,medium
phone cut karu naka line var raha,mr,secrecy,medium
ही चौकशी गोपनीय आहे,mr,secrecy,medium
hi chaukashi gopniya aahe,mr,secrecy,medium
बँकेत जाऊन कुणाशी बोलू नका,mr,secrecy,medium
banket jaun kunashi bolu naka,mr,secrecy,medium
व्हिडिओ कॉल चालू ठेवा,mr,secrecy,medium
video call chalu theva,mr,secrecy,medium
आत्ता पैसे ट्रान्सफर करा,mr,payment_demand,high
aatta paise transfer kara,mr,payment_demand,high
सुरक्षित खात्यात पैसे जमा करा,mr,payment_demand,high
surakshit khatyat paise jama kara,mr,payment_demand,high
हा क्यूआर कोड स्कॅन करा,mr,payment_demand,high
ha qr code scan kara,mr,payment_demand,high
दंड भरल्यावर केस बंद होईल,mr,payment_demand,high
dand bharlyavar case band hoil,mr,payment_demand,high
यूपीआयने लगेच पैसे पाठवा,mr,payment_demand,high
upi ne lagech paise pathava,mr,payment_demand,high
सरकारी खात्यात रक्कम वळवा,mr,payment_demand,high
sarkari khatyat rakkam valva,mr,payment_demand,high
पडताळणीसाठी ओटीपी सांगा,mr,verification_ruse,high
padtalanisathi otp sanga,mr,verification_ruse,high
व्हिडिओ केवायसी आत्ताच पूर्ण करा,mr,verification_ruse,medium
video kyc aattach purna kara,mr,verification_ruse,medium
तुमचा आधार क्रमांक सांगा,mr,verification_ruse,medium
tumcha aadhaar kramank sanga,mr,verification_ruse,medium
हे ॲप डाउनलोड करून स्क्रीन शेअर करा,mr,verification_ruse,medium
he app download karun screen share kara,mr,verification_ruse,medium
पैसे परत मिळतील फक्त पडताळणीसाठी पाठवा,mr,verification_ruse,medium
paise parat miltil fakt padtalanisathi pathava,mr,verification_ruse,medium
लिंकवर क्लिक करून फॉर्म भरा,mr,verification_ruse,medium
link var click karun form bhara,mr,verification_ruse,medium
तुमची नोकरी जाईल,mr,intimidation,medium
tumchi nokri jail,mr,intimidation,medium
कुटुंबालाही केसमध्ये ओढलं जाईल,mr,intimidation,medium
kutumbalahi case madhye odhla jail,mr,intimidation,medium
सहकार्य केलं नाही तर परिणाम वाईट होतील,mr,intimidation,medium
sahakarya kela nahi tar parinam wait hotil,mr,intimidation,medium
तुमची मालमत्ता जप्त होईल,mr,intimidation,medium
tumchi malmatta japt hoil,mr,intimidation,medium
तुमचा पासपोर्ट रद्द केला जाईल,mr,intimidation,medium
tumcha passport radd kela jail,mr,intimidation,medium
आता वाद घालू नका,mr,intimidation,medium
aata vaad ghalu naka,mr,intimidation,medium
वर्तमानपत्रात तुमची बातमी येईल,mr,intimidation,medium
vartmanpatrat tumchi batmi yeil,mr,intimidation,medium
நான் சிபிஐ அதிகாரி பேசுகிறேன்,ta,authority_impersonation,high
naan cbi athikari pesugiren,ta,authority_impersonation,high
சைபர் கிரைம் காவல் நிலையத்திலிருந்து பேசுகிறேன்,ta,authority_impersonation,high
cyber crime kaval nilaiyathilirundhu pesugiren,ta,authority_impersonation,high
இது அமலாக்கத் துறை அழைப்பு,ta,authority_impersonation,high
idhu amalakka thurai azhaippu,ta,authority_impersonation,high
டிராய் சார்பாக தகவல் தெரிவிக்கிறோம்,ta,authority_impersonation,high
trai sarbaga thagaval therivikkirom,ta,authority_impersonation,high
சுங்கத் துறையிலிருந்து பேசுகிறேன் உங்கள் பார்சல் பிடிபட்டுள்ளது,ta,authority_impersonation,high
sunga thuraiyilirundhu pesugiren ungal parcel pidipattullathu,ta,authority_impersonation,high
ரிசர்வ் வங்கி அதிகாரி பேசுகிறேன்,ta,authority_impersonation,high
reserve bank athikari pesugiren,ta,authority_impersonation,high
இது நீதிமன்ற உத்தரவு,ta,authority_impersonation,high
idhu neethimandra uththaravu,ta,authority_impersonation,high
உங்கள் மீது கைது வாரண்ட் உள்ளது,ta,arrest_threat,high
ungal meethu kaithu warrant ullathu,ta,arrest_threat,high
நீங்கள் டிஜிட்டல் கைதில் இருக்கிறீர்கள்,ta,arrest_threat,high
neengal digital kaithil irukkireergal,ta,arrest_threat,high
போலீஸ் உங்கள் வீட்டுக்கு வருகிறது,ta,arrest_threat,high
police ungal veettukku varugirathu,ta,arrest_threat,high
உங்கள் பெயரில் எஃப்ஐஆர் பதிவு செய்யப்பட்டுள்ளது,ta,arrest_threat,high
ungal peyaril fir pathivu seyyappattullathu,ta,arrest_threat,high
பணமோசடி வழக்கில் உங்கள் பெயர் உள்ளது,ta,arrest_threat,high
panamosadi vazhakkil ungal peyar ullathu,ta,arrest_threat,high
ஒரு மணி நேரத்தில் கைது செய்யப்படுவீர்கள்,ta,arrest_threat,high
oru mani nerathil kaithu seyyappaduveergal,ta,arrest_threat,high
சிறைக்கு போக விரும்பவில்லை என்றால் ஒத்துழையுங்கள்,ta,arrest_threat,high
siraikku poga virumbavillai endral othuzhaiyungal,ta,arrest_threat,high
உங்கள் கணக்கு முடக்கப்படும்,ta,account_freeze,high
ungal kanakku mudakkappadum,ta,account_freeze,high
உங்கள் வங்கிக் கணக்கு முடக்கம் செய்யப்படுகிறது,ta,account_freeze,high
ungal vangi kanakku mudakkam seyyappadugirathu,ta,account_freeze,high
உங்கள் ஆதார் சட்டவிரோத பரிவர்த்தனையில் பயன்படுத்தப்பட்டுள்ளது,ta,account_freeze,high
ungal aadhaar sattavirodha parivarthanaiyil payanpaduthappattullathu,ta,account_freeze,high
உங்கள் சிம் கார்டு முடக்கப்படும்,ta,account_freeze,high
ungal sim card mudakkappadum,ta,account_freeze,high
உங்கள் பான் கார்டு ரத்து செய்யப்படும்,ta,account_freeze,high
ungal pan card rathu seyyappadum,ta,account_freeze,high
அனைத்து பரிவர்த்தனைகளும் நிறுத்தப்படும்,ta,account_freeze,high
anaithu parivarthanaigalum niruthappadum,ta,account_freeze,high
உடனே பணம் அனுப்புங்கள்,ta,urgency,medium
udane panam anuppungal,ta,urgency,medium
நேரம் முடிந்து வருகிறது,ta,urgency,low
neram mudinthu varugirathu,ta,urgency,low
முப்பது நிமிடத்தில் பணம் செலுத்த வேண்டும்,ta,urgency,medium
muppathu nimidathil panam seluththa vendum,ta,urgency,medium
இது உங்கள் கடைசி வாய்ப்பு,ta,urgency,medium
idhu ungal kadaisi vaaippu,ta,urgency,medium
தாமதம் செய்தால் ஒன்றும் செய்ய முடியாது,ta,urgency,medium
thamatham seydhal ondrum seyya mudiyathu,ta,urgency,medium
இப்போதே செய்ய வேண்டும்,ta,urgency,low
ippothe seyya vendum,ta,urgency,low
யாரிடமும் சொல்லாதீர்கள்,ta,secrecy,medium
yaaridamum sollatheergal,ta,secrecy,medium
வீட்டில் யாரிடமும் சொல்ல வேண்டாம்,ta,secrecy,medium
veettil yaaridamum solla vendam,ta,secrecy,medium
அழைப்பை துண்டிக்காதீர்கள் லைனில் இருங்கள்,ta,secrecy,medium
azhaippai thundikkatheergal line il irungal,ta,secrecy,medium
இந்த விசாரணை ரகசியமானது,ta,secrecy,medium
indha visaranai ragasiyamanathu,ta,secrecy,medium
வங்கிக்கு சென்று யாரிடமும் பேசாதீர்கள்,ta,secrecy,medium
vangikku sendru yaaridamum pesatheergal,ta,secrecy,medium
வீடியோ அழைப்பை நிறுத்தாதீர்கள்,ta,secrecy,medium
video azhaippai niruthatheergal,ta,secrecy,medium
